strategy,feasible,route_distance_m,nominal_search_s,mean_center_seen,mean_refine_seen,layouts_three_centers,mean_third_center_visible_s,blocked_original_endpoints,max_endpoint_shift_m
x_raw,False,48.02548216481903,115.05096432963808,5,5,11,57.71005523872897,4,0
x_boundary,True,52.643492945361125,136.28698589072224,5,4.909090909090909,11,61.384007092547606,4,0.4999999999999998
y_boundary,True,51.73414353254435,132.4682870650887,4.636363636363637,3.6363636363636362,11,51.56028547301802,0,0.02404163056034267
x_north_first,True,57.72333866722725,147.44667733445453,5,4.909090909090909,11,38.289745805424424,4,0.4999999999999998
x_free_intervals,True,46.831612207405186,133.66322441481037,5,5,11,55.51135250022674,0,0.02404163056034267
