strategy,feasible,route_distance_m,nominal_search_s,mean_center_seen,mean_refine_seen,layouts_three_centers,mean_third_center_visible_s,blocked_original_endpoints,max_endpoint_shift_m
x_raw,False,114.59999999999998,252.19999999999996,5,5,11,88.95,1,0
x_boundary,True,115.46549100061056,265.93098200122114,5,4.818181818181818,11,86.08293674378059,1,0.049999999999998934
y_boundary,True,112.38837731817488,261.7767546363498,5,3.1818181818181817,11,99.23120796874902,13,0.049999999999998934
x_north_first,True,119.69780580547504,275.39561161095,5,4.7272727272727275,11,93.24677406010387,1,0.049999999999998934
x_free_intervals,True,120.14394842686575,295.2878968537315,5,5,11,97.72542064116193,0,1.9860273225978185e-15
