strategy,feasible,route_distance_m,nominal_search_s,mean_center_seen,mean_refine_seen,layouts_three_centers,mean_third_center_visible_s,blocked_original_endpoints,max_endpoint_shift_m
x_raw,False,48.02548216481903,115.05096432963808,5,5,11,54.51914614781988,2,0
x_boundary,True,51.50261418269584,135.0052283653917,5,4.909090909090909,11,62.19010234903474,2,0.40000000000000013
y_boundary,True,50.47869937328044,128.9573987465609,4.636363636363637,3.6363636363636362,11,47.28331121006324,0,0.02404163056034267
x_north_first,True,56.49208474172594,145.9841694834519,5,5,11,34.56322452208441,2,0.40000000000000013
x_free_intervals,True,50.847101823405765,148.69420364681156,5,5,11,75.0697399371377,0,0.02404163056034267
