strategy,feasible,route_distance_m,nominal_search_s,mean_center_seen,mean_refine_seen,layouts_three_centers,mean_third_center_visible_s,blocked_original_endpoints,max_endpoint_shift_m
x_raw,False,114.59999999999998,252.19999999999996,5,5,11,88.95,1,0
x_boundary,True,115.56975587156991,266.1395117431399,5,4.545454545454546,11,90.4355401987641,1,0.049999999999998934
y_boundary,True,112.72625622823135,262.4525124564627,5,3.272727272727273,11,96.17684292578178,13,0.049999999999998934
x_north_first,True,120.00861292685502,276.01722585371,5,4.454545454545454,11,94.63187037487197,1,0.049999999999998934
x_free_intervals,True,121.79597705300021,307.5919541060004,5,5,11,99.96342647137422,0,1.9860273225978185e-15
